date,sales_revenue,cost_of_goods_sold,net_income,ebit,ebt,interest_expense,depreciation,shares_outstanding,total_assets,total_liabilities,total_equity,total_debt,retained_earnings,common_stock,capex,dividends_paid,stock_repurchased,operating_cash_flow,overhead_expenses,payroll_expenses
2021-06-30,16698000000,1218000000,5486000000,6840000000,6840000000,1310000000,520000000,350799996,1387922000000,1286032000000,101890000000,482286000000,124051000000,9000000,1353000000,560000000,1675000000,20467000000,8640000000,4320000000.0
2021-09-30,15161000000,1728000000,5378000000,6842000000,6842000000,1553000000,509000000,348299996,1443230000000,1336933000000,106297000000,481077000000,128631000000,9000000,883000000,792000000,1000000000,-39260000000,6591000000,3295500000.0
2021-12-31,13854000000,1559000000,3935000000,5025000000,5025000000,1215000000,488000000,346599996,1463988000000,1354062000000,109926000000,487762000000,131811000000,9000000,1119000000,822000000,500000000,24897000000,7270000000,3635000000.0
2022-03-31,14318000000,1946000000,3939000000,4656000000,4656000000,1385000000,492000000,351199996,1589441000000,1474202000000,115239000000,501820000000,134931000000,9000000,953000000,815000000,500000000,-19534000000,7716000000,3858000000.0
2022-06-30,14981000000,3784000000,2927000000,3544000000,3544000000,3117000000,570000000,354999996,1601224000000,1483353000000,117871000000,500284000000,136998000000,9000000,1051000000,857000000,500000000,45394000000,7653000000,3826500000.0
2022-09-30,18482000000,7022000000,3069000000,3756000000,3756000000,6507000000,666000000,352799996,1555994000000,1436704000000,119290000000,469157000000,139067000000,9000000,990000000,997000000,1000000000,16010000000,7704000000,3852000000.0
2022-12-31,20930000000,11309000000,1326000000,1530000000,1530000000,10337000000,727000000,349500000,1441799000000,1324610000000,117189000000,434548000000,139372000000,9000000,754000000,1013000000,1500000000,-33162000000,8091000000,4045500000.0
2023-03-31,25381000000,12986000000,3234000000,3993000000,3993000000,13157000000,970000000,346600000,1538349000000,1420840000000,117509000000,523424000000,141591000000,9000000,597000000,1013000000,2546000000,9404000000,8402000000,4201000000.0
2023-06-30,26047000000,15767000000,1216000000,1736000000,1736000000,15152000000,1594000000,342300000,1571386000000,1454893000000,116493000000,539408000000,141798000000,9000000,666000000,1012000000,750000000,31901000000,8544000000,4272000000.0
2023-09-30,28527000000,16717000000,2058000000,2756000000,2756000000,16710000000,1512000000,338700000,1577153000000,1459876000000,117277000000,536662000000,142743000000,9000000,507000000,933000000,2500000000,-25534000000,9054000000,4527000000.0
