date,sales_revenue,cost_of_goods_sold,net_income,ebit,ebt,interest_expense,depreciation,shares_outstanding,total_assets,total_liabilities,total_equity,total_debt,retained_earnings,common_stock,capex,dividends_paid,stock_repurchased,operating_cash_flow,overhead_expenses,payroll_expenses
2018-12-31,39276000000,17918000000,8948000000,8203000000,10072000000,29000000,2580000000,13905200343,232792000000,55164000000,177628000000,4012000000,134885000000,45049000000,7081000000,0,2650000000,12987000000,13155000000,6577500000.0
2019-03-31,36339000000,16012000000,6657000000,6608000000,8146000000,35000000,2613000000,13897697990,245349000000,61877000000,183472000000,12272000000,138720000000,46532000000,4638000000,0,3025000000,12000000000,13719000000,6859500000.0
2019-06-30,38944000000,17296000000,9947000000,9180000000,12147000000,25000000,2835000000,13882757880,257101000000,64909000000,192192000000,13162000000,145346000000,47937000000,6126000000,0,3577000000,12627000000,12468000000,6234000000.0
2019-09-30,40499000000,17568000000,7068000000,9177000000,8628000000,23000000,2920000000,13858817986,263044000000,68075000000,194969000000,13748000000,147125000000,49040000000,6732000000,0,5696000000,15466000000,13754000000,6877000000.0
2019-12-31,46075000000,21020000000,10671000000,9266000000,10704000000,17000000,3413000000,13776114489,275909000000,74467000000,201442000000,15967000000,152122000000,50552000000,6052000000,0,6098000000,14427000000,15789000000,7894500000.0
2020-03-31,41159000000,18982000000,6836000000,7977000000,7757000000,21000000,3108000000,13729294508,273403000000,69744000000,203659000000,16804000000,151068000000,53688000000,6005000000,0,8496000000,11451000000,14200000000,7100000000.0
2020-06-30,38297000000,18553000000,6959000000,6383000000,8277000000,13000000,3386000000,13635354545,278492000000,71170000000,207322000000,16143000000,151681000000,55937000000,5391000000,0,6852000000,13993000000,13361000000,6680500000.0
2020-09-30,46173000000,21117000000,11247000000,11213000000,13359000000,48000000,3478000000,13588974564,299243000000,86323000000,212920000000,26421000000,155567000000,57307000000,5406000000,0,7897000000,17003000000,13843000000,6921500000.0
2020-12-31,56898000000,26080000000,15227000000,15651000000,18689000000,53000000,3725000000,13511633919,319616000000,97072000000,222544000000,26772000000,163401000000,58510000000,5479000000,0,7904000000,22677000000,15167000000,7583500000.0
2021-03-31,55314000000,24103000000,17930000000,16437000000,21283000000,76000000,2753000000,13464393941,327095000000,97082000000,230013000000,27157000000,170580000000,59436000000,5942000000,0,11395000000,19289000000,14774000000,7387000000.0
2021-06-30,61880000000,26227000000,18525000000,19361000000,21985000000,76000000,2945000000,13379154000,335387000000,97822000000,237565000000,27984000000,176939000000,60436000000,5496000000,0,12796000000,21890000000,16292000000,8146000000.0
2021-09-30,65118000000,27621000000,18936000000,21031000000,23064000000,77000000,3304000000,13315154008,347403000000,102836000000,244567000000,27860000000,183782000000,61193000000,6819000000,0,12610000000,25539000000,16466000000,8233000000.0
2021-12-31,75325000000,32988000000,20642000000,21885000000,24402000000,117000000,3439000000,13253254036,359268000000,107633000000,251635000000,28395000000,191484000000,61774000000,6383000000,0,13473000000,24934000000,20452000000,10226000000.0
2022-03-31,68011000000,29599000000,16436000000,20094000000,18934000000,83000000,3782000000,13203000000,357096000000,103092000000,254004000000,28421000000,195221000000,62832000000,9786000000,0,13300000000,25106000000,18318000000,9159000000.0
2022-06-30,69685000000,30104000000,16002000000,19453000000,19014000000,83000000,3899000000,13168000000,355185000000,99766000000,255419000000,28728000000,196845000000,64402000000,6828000000,0,15197000000,19422000000,20128000000,10064000000.0
2022-09-30,69092000000,31158000000,13910000000,17135000000,16233000000,101000000,4046000000,13000000000,358255000000,104629000000,253626000000,28922000000,196220000000,66258000000,7276000000,0,15392000000,23353000000,20799000000,10399500000.0
