ticker,name,sector,rating,rating_num,date,debt_to_equity,interest_coverage,current_ratio,net_margin,roa,debt_to_ebitda,log_assets,pd_1yr,spread_bps,beta,market_cap,log_market_cap
CL,Colgate-Palmolive,Consumer Staples,A-,2,2024-12-31,40.15094339622642,15.01027397260274,0.9232505643340858,0.1437241928262275,0.1800448709958868,1.753966618586441,10.205366787866476,0.0018,147.6,0.295,64692223406.0,11.077396278612795
EL,Estee Lauder,Consumer Staples,A-,2,2025-06-30,2.4421733505821477,2.371287128712871,1.3006439742410305,-0.0792973124300112,-0.0569575708827669,48.90673575129534,10.298678450560187,0.0018,195.9,1.175,38746658335.0,10.564799794546781
KMB,Kimberly-Clark,Consumer Staples,A-,2,2024-12-31,9.423809523809524,11.88888888888889,0.7966876070816676,0.1268820420779738,0.1538136105403118,1.9899446958270488,10.218693019991356,0.0018,146.4,0.26,33547756165.0,10.42072525983537
GIS,General Mills,Consumer Staples,A-,2,2025-05-25,1.6628293764675188,6.016384489350082,0.6714392984867575,0.1177835025094167,0.0694019854192935,3.899434077699602,10.519448640513492,0.0018,128.5,-0.076,25593948653.0,10.150111221783135
K,Kellogg,Consumer Staples,A-,2,2024-12-28,1.68,5.290960451977401,0.8055793991416309,0.1053415954192485,0.0859355003839262,2.7195540308747854,10.193903402552747,0.0018,141.6,0.25,29031498564.0,10.276136676905775
HSY,Hershey,Consumer Staples,A-,2,2024-12-31,1.1554514923046315,16.626215458044825,0.9567277729072056,0.1982848465528795,0.1715658336024461,1.7552891759905245,10.11216448535726,0.0018,101.2,0.177,37474357721.0,10.531412183958016
MKC,McCormick,Consumer Staples,A-,2,2024-11-30,0.8521073521073521,5.063514804202483,0.7419869571250174,0.1172717402620581,0.0603276129851648,3.424610710216483,10.116285555969933,0.0018,126.6,0.621,18494147544.0,9.825209612044551
STZ,Constellation Brands,Consumer Staples,A-,2,2025-02-28,1.7601714617843651,8.796791443850267,0.9209952418715304,-0.0079742160483547,-0.0037594158588233,15.478533094812164,10.335504035758852,0.0018,173.7,0.459,24611386756.0,10.110964491086447
TAP,Molson Coors,Consumer Staples,A-,2,2024-12-31,0.4730072408420152,6.277121374865736,0.9353737028766584,0.0965339296465124,0.0430627333172193,2.4332246277160032,10.416046065721138,0.0018,104.2,0.444,9343655566.0,9.142452842873196
SYY,Sysco,Consumer Staples,A-,2,2025-06-28,7.920218579234973,4.862992125984252,1.2069382815651473,0.0224652820449797,0.068275192350788,3.504352030947776,10.427713259052272,0.0018,192.6,0.62,35998537138.0,10.491233581557065
HCA,HCA Healthcare,Healthcare,A-,2,2024-12-31,50.0,5.11741872877244,1.0815049087434934,0.08158293556931,0.0967855762606489,3.255397236614854,10.774611843234153,0.0018,186.1,1.367,115071605458.0,11.653309869731995
HUM,Humana,Healthcare,A-,2,2024-12-31,0.6805496183206107,2.6075757575757574,0.0,0.0102495732882703,0.025968717055014,3.3275604658106896,10.667256775596693,0.0018,153.5,0.466,31180792879.0,10.347557571377614
CVS,CVS Health,Healthcare,A-,2,2024-12-31,1.0974060349391213,2.878972278566599,0.811320308714203,0.0123763106577362,0.0182216693323855,6.060074545055909,11.403489428929335,0.0018,173.3,0.48,100437498213.0,11.517290904687709
MCK,McKesson,Healthcare,A-,2,2025-03-31,50.0,17.078125,0.8992597883254334,0.0091769692884854,0.0438514772424807,1.4073509807655684,10.875871190727366,0.0018,151.8,0.383,103303745868.0,11.545428916483193
CAH,Cardinal Health,Healthcare,A-,2,2025-06-30,50.0,10.581395348837209,0.9351106769159576,0.0070132717519251,0.0293851888106622,3.008692852543464,10.725274417501014,0.0018,189.0,0.635,49311013583.0,10.805902734330378
EW,Edwards Lifesciences,Healthcare,A-,2,2024-12-31,0.0700112017922867,69.63131313131314,4.175790592612278,0.7674602445077673,0.3197628549324795,0.4062445592246532,10.115786856001751,0.0018,74.8,0.967,50664914371.0,10.832988925779341
IDXX,IDEXX Labs,Healthcare,A-,2,2024-12-31,0.6186547718222066,36.158852747957056,1.3108680832574846,0.2278039996880054,0.2695862658014728,0.773567218459995,9.517650151457604,0.0018,92.0,1.668,54952088279.0,10.914216962367169
