ticker,name,sector,rating,rating_num,date,debt_to_equity,interest_coverage,current_ratio,net_margin,roa,debt_to_ebitda,log_assets
AMAT,Applied Materials,Technology,A,2,2025-10-26,0.3453343130051433,30.814126394052046,2.6104513064133017,0.24668640721940213,0.1927876801013802,0.7305699481865285,10.559894660836001
ADI,Analog Devices,Technology,A,2,2025-11-01,0.256229973277249,9.450188218408893,2.1899250755052453,0.20575338346110292,0.047243464799405374,1.7230410488015426,10.681175291990272
LRCX,Lam Research,Technology,A,2,2025-06-29,0.4823300312048154,33.113741070576815,2.210118102893768,0.29064525243589967,0.25102608260569326,0.7497242452642533,10.329301449178738
KLAC,KLA Corp,Technology,A,2,2025-06-30,1.297462542512413,17.344919679911044,2.618532990519593,0.33412215138297763,0.2527795435453213,1.1399778530987126,10.205959822943523
MU,Micron Technology,Technology,A,2,2025-08-28,0.28206406350964647,20.69182389937107,2.5179849834119086,0.22844989030980792,0.1031305103988019,0.8261951113995242,10.918019846453308
EOG,EOG Resources,Energy,A,2,2024-12-31,0.17263466321420054,58.56521739130435,2.0974971983563693,0.2738899820343913,0.1356970287797228,0.40653080872913994,10.673813163366331
SLB,Schlumberger,Energy,A,2,2024-12-31,0.5714150496923806,12.35546875,1.4495355553820934,0.12292981344208989,0.09116174517216716,1.4963440327178088,10.689619592654873
PXD,Pioneer Natural,Energy,A,2,2023-12-31,0.22692158301324933,-9.908450704225352,0.8759246805648958,0.252142046041086,0.13342255483025156,0.5654979565497956,10.563635315608282
APD,Air Products,Materials,A,2,2025-09-30,1.225046422937923,-4.098130841121495,1.3809794718627033,-0.03277313018700207,-0.00960800789098747,13.761644859813083,10.613413656467522
SHW,Sherwin-Williams,Materials,A,2,2024-12-31,2.940684241706161,8.720213259156235,0.7932204385565527,0.11608546009481135,0.11346191278149674,2.6524101079817433,10.373511504261936
ECL,Ecolab,Materials,A,2,2024-12-31,0.9458052139358021,7.719858156028369,1.2572400267067267,0.13419390905510312,0.09435496118421641,2.154148244473342,10.350011418509645
CME,CME Group,Financials,A,2,2024-12-31,0.1294224692206336,24.434431323803604,1.007033257455732,0.575161906004796,0.025652069524980538,0.6802802087674387,11.138135265113178
